date_of_operation,restaurant_type,branch_identifier,state_of_operation,region_of_operation,number_of_customers
01-04-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,40
03-04-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,5
04-04-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,4
05-04-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,113
07-04-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,76
12-04-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,123
4-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,81
4-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,117
4-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,127
4-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,42
4-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,145
4-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,100
4-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,140
4-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,81
4-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,120
4-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,79
4-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,41
4-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,111
4-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,115
4-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,124
4-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,114
4-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,114
4-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,127
4-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,497
01-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,130
02-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,17
03-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,11
